City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,el matama,16.7095,33.3565,22.25,20,4,3.0,SD,1702267428
1,wailua homesteads,22.0669,-159.378,24.44,85,40,4.12,US,1702267429
2,iskateley,67.6803,53.1512,-22.77,91,100,4.92,RU,1702267429
3,stanley,54.868,-1.6985,4.6,96,40,4.12,GB,1702267429
4,ushuaia,-54.8,-68.3,5.81,56,0,3.09,AR,1702267220
5,badger,64.8,-147.5333,-16.22,71,100,3.09,US,1702267430
6,port-aux-francais,-49.35,70.2167,4.46,79,81,8.96,TF,1702267430
7,soissons,49.3817,3.3236,9.93,84,77,6.86,FR,1702267430
8,valparaiso,-33.0393,-71.6273,14.8,94,75,2.06,CL,1702267431
9,edinburgh of the seven seas,-37.0676,-12.3116,13.64,71,98,7.88,SH,1702267431
10,mendi,-6.1761,143.6513,16.7,86,100,0.6,PG,1702267431
11,yellowknife,62.456,-114.3525,-12.55,97,75,8.75,CA,1702267431
12,egilsstadir,65.2653,-14.3948,-7.05,100,100,2.06,IS,1702267432
13,enewetak,11.3474,162.3373,27.85,76,87,7.9,MH,1702267432
14,ribeira grande,38.5167,-28.7,17.1,74,80,8.05,PT,1702267432
15,afaahiti,-17.75,-149.2833,28.93,81,65,10.91,PF,1702267433
16,le vauclin,14.5452,-60.8388,27.03,74,20,5.66,MQ,1702267433
17,grytviken,-54.2811,-36.5092,5.39,97,100,6.72,GS,1702267159
18,puerto natales,-51.7236,-72.4875,5.01,89,54,1.61,CL,1702267434
19,las tablas,7.7667,-80.2833,27.32,99,15,2.28,PA,1702267434
20,east london,-33.0153,27.9116,17.52,94,75,1.03,ZA,1702267434
21,dunedin,-45.8742,170.5036,15.38,63,41,2.61,NZ,1702267316
22,janauba,-15.8025,-43.3089,24.19,57,19,4.78,BR,1702267427
23,georgetown,6.8045,-58.1553,25.16,92,3,2.42,GY,1702267435
24,invercargill,-46.4,168.35,15.21,52,73,7.35,NZ,1702267435
25,hithadhoo,-0.6,73.0833,27.88,76,95,1.81,MV,1702267435
26,natal,-5.795,-35.2094,25.36,83,20,2.06,BR,1702267198
27,sandnessjoen,66.0217,12.6316,-7.71,80,29,7.23,NO,1702267436
28,onalaska,43.8844,-91.2351,-3.08,80,100,3.6,US,1702267436
29,akureyri,65.6835,-18.0878,-10.04,85,0,1.54,IS,1702267436
30,nizhnevartovsk,60.9344,76.5531,-38.99,67,8,1.0,RU,1702267304
31,atafu village,-8.5421,-172.5159,28.54,78,100,6.35,TK,1702267437
32,bethel,41.3712,-73.414,15.67,68,100,2.06,US,1702267437
33,albany,42.6526,-73.7562,9.06,94,100,3.09,US,1702267429
34,gebeit,21.0667,36.3167,19.94,81,29,1.19,SD,1702267437
35,waitangi,-43.9535,-176.5597,14.34,59,0,3.01,NZ,1702267438
36,margaret river,-33.95,115.0667,25.1,35,0,3.23,AU,1702267438
37,puerto armuelles,8.2833,-82.8667,26.09,86,75,1.79,PA,1702267438
38,adamstown,-25.066,-130.1015,21.31,57,0,2.84,PN,1702267438
39,villa juarez,27.1167,-109.8333,18.48,58,0,4.05,MX,1702267439
40,kolpashevo,58.3131,82.9089,-31.61,99,11,2.24,RU,1702267439
41,villa gesell,-37.2639,-56.973,17.81,86,0,4.59,AR,1702267439
42,avarua,-21.2078,-159.775,26.03,78,100,11.32,CK,1702267439
43,puerto ayora,-0.7393,-90.3518,23.89,88,30,3.48,EC,1702267440
44,aykhal,66.0,111.5,-26.83,98,100,2.46,RU,1702267440
45,cabo san lucas,22.8909,-109.9124,23.75,68,0,2.33,MX,1702267440
46,murmashi,68.8154,32.8115,-13.77,77,75,2.0,RU,1702267440
47,tsiombe,-25.3,45.4833,27.66,63,98,1.32,MG,1702267441
48,iqaluit,63.7506,-68.5145,-5.15,73,100,10.8,CA,1702267441
49,saint joseph,39.7686,-94.8466,2.53,68,88,3.08,US,1702267206
50,blackmans bay,-43.0167,147.3167,19.85,60,7,0.89,AU,1702267441
51,tiksi,71.6872,128.8694,-25.42,100,100,2.7,RU,1702267442
52,yung shue wan,22.2333,114.1167,28.22,80,77,0.89,HK,1702267442
53,ust-nera,64.5667,143.2,-22.43,99,100,3.51,RU,1702267443
54,bredasdorp,-34.5322,20.0403,14.94,84,3,1.14,ZA,1702267444
55,palikir - national government center,6.9248,158.1611,30.47,74,100,2.57,FM,1702267444
56,anadyr,64.75,177.4833,-26.67,82,75,4.0,RU,1702267445
57,amga,60.8953,131.9608,-26.4,92,100,3.86,RU,1702267445
58,jamestown,42.097,-79.2353,3.08,98,100,4.63,US,1702267369
59,guadalupe y calvo,26.1,-106.9667,6.12,44,0,2.45,MX,1702267446
60,belfast,54.5833,-5.9333,6.93,94,40,2.06,GB,1702267179
61,esmeralda,21.8525,-78.1169,22.73,93,4,1.09,CU,1702267447
62,maun,-19.9833,23.4167,19.87,86,100,1.7,BW,1702267447
63,luderitz,-26.6481,15.1594,16.13,73,0,7.48,NA,1702267448
64,bakchar,57.0186,82.0711,-29.66,95,24,2.98,RU,1702267448
65,port mathurin,-19.6833,63.4167,26.07,76,100,3.12,MU,1702267448
66,olonkinbyen,70.9221,-8.7187,-2.1,65,100,6.12,SJ,1702267449
67,tianpeng,30.9866,103.9393,15.26,51,87,1.85,CN,1702267449
68,aasiaat,68.7098,-52.8699,-2.68,87,100,5.79,GL,1702267449
69,haiku-pauwela,20.9219,-156.3051,25.65,79,0,3.6,US,1702267450
70,ad dilam,23.9915,47.1627,14.23,22,80,1.88,SA,1702267450
71,chadron,42.8294,-102.9999,0.82,62,100,0.0,US,1702267451
72,port elizabeth,-33.918,25.5701,16.29,89,0,1.54,ZA,1702267451
73,fisterra,42.9049,-9.2629,18.19,87,100,10.61,ES,1702267451
74,sola,-13.8833,167.55,27.37,78,100,2.06,VU,1702267452
75,cole harbour,44.6724,-63.4751,9.4,96,100,0.89,CA,1702267185
76,bilibino,68.0546,166.4372,-25.4,98,52,1.98,RU,1702267452
77,constantia,-34.0314,18.4183,17.67,75,0,2.68,ZA,1702267453
78,zivinice,44.4494,18.6497,-1.88,100,100,0.51,BA,1702267453
79,klyuchi,52.2667,79.1667,-21.63,86,18,3.49,RU,1702267453
80,punta cardon,11.6581,-70.215,26.43,84,0,11.15,VE,1702267262
81,prainha,-1.8,-53.48,24.93,81,97,1.68,BR,1702267454
